Capítulo y Sección,Requisito,Criterio de Cumplimiento,Evidencia
,Se describen los métodos y equipos utilizados para el monitoreo.,Se deben detallar los procedimientos y la instrumentación empleada para la toma de mediciones de ruido.,Descripción de métodos y equipos de monitoreo de ruido.
,"Se presentan los resultados del monitoreo de manera clara (tablas, gráficos).","Los datos obtenidos deben ser organizados en formatos de fácil lectura, como tablas y gráficos, para su interpretación.",Tablas y gráficos con los resultados del monitoreo de ruido.
3.8.1.4 Hidrología,"Se describe el sistema hidrográfico del área de influencia (ríos, arroyos, lagos, acuíferos).","Se deben describir los cuerpos de agua superficiales (ríos, lagos, humedales) y subterráneos (acuíferos) presentes en la zona.",Descripción narrativa del sistema hidrográfico.
,Se identifican los cuerpos de agua superficiales y subterráneos relevantes.,Se deben nombrar y localizar específicamente aquellos cuerpos de agua que pueden ser afectados por o son importantes para el proyecto.,Mención de los cuerpos de agua relevantes.
,Se describe la dirección del flujo de agua.,Se debe indicar la trayectoria y sentido del movimiento del agua en los sistemas hídricos superficiales y subterráneos.,Descripción de la dirección del flujo de agua.
,"Se describe la dinámica hídrica (caudales, niveles, regímenes).","Se deben presentar datos sobre el volumen de agua que fluye (caudales), los niveles de agua y las variaciones estacionales o anuales de estos.","Datos de caudales, niveles y regímenes hídricos."
,Se incluyen mapas hidrológicos.,"Se debe adjuntar un mapa que ilustre la red hidrográfica, cuerpos de agua y zonas de recarga/descarga de acuíferos.",Mapas hidrológicos.
,Se incluye información sobre el uso del agua en la zona.,"Se debe detallar cómo es utilizada el agua en el área (ej. consumo humano, riego, industria, generación hidroeléctrica).",Descripción de los usos del agua en la zona.
3.8.1.5 Calidad de Agua,Se describe la calidad de los cuerpos de agua superficiales y subterráneos en el área de influencia.,"Se deben presentar las características físicas, químicas y biológicas del agua en los cuerpos hídricos antes del proyecto.",Párrafo descriptivo de la calidad del agua.
,Se realizan muestreos y análisis de calidad de agua.,Se deben tomar muestras de agua en puntos estratégicos y realizar análisis de laboratorio para determinar su composición.,Informes de laboratorio y tablas de resultados de muestreo de calidad de agua.
,"Se miden los parámetros fisicoquímicos, microbiológicos y otros relevantes.","Se deben analizar parámetros como pH, temperatura, oxígeno disuelto, conductividad, turbidez, coliformes, metales pesados, etc., según la relevancia del proyecto.",Listado de parámetros medidos y sus resultados.
,Se comparan los resultados con la normativa aplicable (ej. límites máximos permisibles de descarga).,Los valores medidos deben ser comparados con los estándares de calidad de agua y límites de descarga establecidos por la legislación vigente.,Tablas comparativas de resultados de muestreo de agua con límites permisibles.
,Se incluye la ubicación de los puntos de muestreo en un mapa.,Se debe adjuntar un mapa que muestre las coordenadas exactas de los lugares donde se tomaron las muestras de agua.,Mapa con la ubicación de los puntos de muestreo de agua.
,Se describen los métodos y equipos utilizados para el muestreo y análisis.,Se deben detallar los procedimientos y la instrumentación empleada para la toma de muestras y el análisis de calidad de agua.,Descripción de métodos y equipos de muestreo y análisis de agua.
,"Se presentan los resultados de los análisis de manera clara (tablas, gráficos).","Los datos obtenidos deben ser organizados en formatos de fácil lectura, como tablas y gráficos, para su interpretación.",Tablas y gráficos con los resultados de los análisis de calidad de agua.
3.8.1.6 Geología,"Se describe la geología general del área de influencia (formaciones geológicas, tipos de roca).","Se deben detallar las características geológicas del subsuelo, incluyendo los tipos de rocas presentes y su distribución.",Descripción narrativa de la geología del área.
,"Se identifican las características geotécnicas relevantes (estabilidad de taludes, riesgos de deslizamientos).",Se deben evaluar las propiedades mecánicas del suelo y la roca que puedan influir en la estabilidad del terreno y la ocurrencia de fenómenos geológicos.,Identificación y evaluación de características geotécnicas y riesgos.
,Se incluye un mapa geológico.,Se debe adjuntar un mapa que ilustre la distribución de las unidades geológicas en el área de estudio.,Mapa geológico.
,Se identifica la presencia de fallas geológicas activas o pasivas.,Se debe señalar la existencia de fracturas en la corteza terrestre que puedan tener actividad sísmica o ser riesgosas.,Mención de la presencia de fallas geológicas.
,Se identifica la sismicidad del área.,Se debe describir la actividad sísmica histórica y potencial de la región.,Descripción de la sismicidad del área.
3.8.1.7 Edafología,Se describen los tipos de suelo presentes en el área de influencia.,"Se deben identificar y clasificar los diferentes tipos de suelos según su origen, composición y propiedades.",Descripción narrativa de los tipos de suelo.
,"Se describen las características fisicoquímicas de los suelos (textura, estructura, pH, materia orgánica).","Se deben detallar las propiedades del suelo como el tamaño de sus partículas, su organización, acidez/alcalinidad y contenido de materia orgánica.",Resultados de análisis fisicoquímicos de suelos.
,Se describe la capacidad de uso del suelo.,"Se debe determinar el potencial del suelo para diferentes actividades (ej. agrícola, forestal, urbano) y las limitaciones de uso.",Clasificación de la capacidad de uso del suelo.
,Se incluye un mapa edafológico.,Se debe adjuntar un mapa que muestre la distribución de los diferentes tipos de suelos en el área de estudio.,Mapa edafológico.
3.8.1.8 Calidad de Suelo,Se describe la calidad actual del suelo en el área de influencia.,Se deben presentar las características del suelo en cuanto a la presencia de contaminantes y su estado de conservación antes del proyecto.,Párrafo descriptivo de la calidad del suelo.
,Se realizan muestreos y análisis de calidad de suelo.,Se deben tomar muestras de suelo en puntos estratégicos y realizar análisis de laboratorio para determinar su composición y presencia de contaminantes.,Informes de laboratorio y tablas de resultados de muestreo de calidad de suelo.
,"Se miden los parámetros físicos, químicos y microbiológicos relevantes.","Se deben analizar parámetros como textura, pH, nutrientes, metales pesados, hidrocarburos, microbiología, etc., según la relevancia del proyecto.",Listado de parámetros medidos y sus resultados.
,Se comparan los resultados con la normativa aplicable (ej. límites máximos permisibles).,Los valores medidos deben ser comparados con los estándares de calidad de suelo y límites de contaminación establecidos por la legislación vigente.,Tablas comparativas de resultados de muestreo de suelo con límites permisibles.
,Se incluye la ubicación de los puntos de muestreo en un mapa.,Se debe adjuntar un mapa que muestre las coordenadas exactas de los lugares donde se tomaron las muestras de suelo.,Mapa con la ubicación de los puntos de muestreo de suelo.
,Se describen los métodos y equipos utilizados para el muestreo y análisis.,Se deben detallar los procedimientos y la instrumentación empleada para la toma de muestras y el análisis de calidad de suelo.,Descripción de métodos y equipos de muestreo y análisis de suelo.
,"Se presentan los resultados de los análisis de manera clara (tablas, gráficos).","Los datos obtenidos deben ser organizados en formatos de fácil lectura, como tablas y gráficos, para su interpretación.",Tablas y gráficos con los resultados de los análisis de calidad de suelo.
